Zip Code,Total Population Age 16+,Ages 16-19,Ages 20-24,Ages 25-29,Ages 30-34,Ages 35-44,Ages 45-54,Ages 55-59,Ages 60-64,Ages 65-74,Ages 75+,Total Population,Make,Fully Vaccinated,Partially Vaccinated,1_plus_dose,booster_recip_count,%_Employed,above_average,over_75_population
92675,30701,2184,2193,2434,2065,4106,5354,2730,2569,3572,3494,38803,WORKHORSE,0.631243,0.0487,0.679943,9323.0,0.7912017112078963,0,0.09004458418163544
92676,1788,122,60,59,80,189,351,212,336,260,119,2068,VOLKSWAGEN,0.599597,0.036813,0.63641,564.0,0.8646034816247582,0,0.05754352030947776
92677,55031,2906,3811,3617,3989,7480,9723,5760,5972,7304,4469,66314,VOLVO,0.725875,0.053425,0.7793,22764.0,0.8298549325934191,1,0.06739150104050427
92678,498,53,24,7,48,69,70,95,43,41,48,584,TOYOTA,0.412313,0.031716,0.444029,103.0,0.8527397260273972,0,0.0821917808219178
92679,25993,2059,1584,1567,1184,3947,6096,3347,2465,2723,1021,32657,WORKHORSE,0.687115,0.047395,0.73451,10155.0,0.7959396147839667,1,0.031264353737330434
92683,75167,4542,5339,6377,5775,11564,14240,5828,5830,8053,7619,91105,WORKHORSE,0.801897,0.060862,0.862759,31717.0,0.8250589978596126,1,0.08362877997914495
92688,34770,2786,2222,2619,3117,6577,7791,3357,2270,2502,1529,44832,VOLVO,0.706527,0.041631,0.748158,12794.0,0.7755620985010707,1,0.03410510349750179
92691,42244,2575,2916,2861,3100,6361,8000,3442,3244,5354,4391,50839,WORKHORSE,0.685834,0.045849,0.731683,15498.0,0.8309368791675682,1,0.08637069965971006
92692,38984,2202,2147,2460,2152,5200,6972,4402,3612,5626,4211,46800,WORKHORSE,0.753091,0.047578,0.800669,17024.0,0.8329914529914529,1,0.08997863247863248
92694,19665,1702,747,1146,1938,5359,4626,1203,1217,1257,470,29570,VOLVO,0.834176,0.060018,0.894194,9711.0,0.6650321271559012,1,0.015894487656408524
92701,39488,3347,4468,4645,4034,9056,5967,2427,1876,1917,1751,55058,VOLVO,0.603334,0.056185,0.659519,7655.0,0.7172073086563261,0,0.031802826110646956
92703,53076,4333,5688,5937,5905,9415,8728,3611,2919,4099,2441,69112,VOLVO,0.744467,0.076786,0.821253,14094.0,0.7679708299571709,1,0.03531948142146082
92704,68323,5048,6974,8253,6908,12078,11518,5236,3862,5219,3227,88321,WORKHORSE,0.710668,0.056973,0.767641,18690.0,0.7735759332435095,1,0.03653717688884863
92705,37426,2563,3167,2900,2743,5863,6500,3340,2618,4141,3591,47298,WORKHORSE,0.714396,0.057356,0.771752,13251.0,0.791280815256459,1,0.07592287200304453
92706,27190,1786,2128,3338,3010,4562,4787,1933,1821,2094,1731,35748,VOLVO,0.773383,0.065326,0.838709,8072.0,0.7606019917198165,1,0.04842228935884525
92707,47461,3374,5732,5938,5207,7667,8372,3353,2633,3254,1931,60831,VOLVO,0.684478,0.055571,0.740049,11285.0,0.7802107478095051,1,0.03174368331936019
92708,47380,3223,3217,3304,2853,6901,8557,4321,3979,6431,4594,56953,WORKHORSE,0.787873,0.0484,0.836273,21177.0,0.831914034379225,1,0.08066300282689234
92780,46246,3027,4249,5320,4778,8861,7016,3273,2981,3776,2965,59499,WORKHORSE,0.679108,0.051153,0.730261,14091.0,0.7772567606178256,1,0.049832770298660484
92782,18011,1324,1115,1524,1512,3383,3844,1618,1358,1492,841,23084,VOLVO,0.987482,0.059869,1.0,10835.0,0.7802373938658811,1,0.0364321608040201
92801,50887,3532,5362,6217,5153,9124,8106,3774,2782,3649,3188,66594,VOLVO,0.64931,0.052004,0.701314,12901.0,0.7641379103222512,0,0.04787218067693786
92802,32749,2168,3134,3935,3406,5461,5675,2150,2004,2594,2222,42016,VOLVO,0.709441,0.110451,0.819892,8988.0,0.7794411652703732,1,0.052884615384615384
92804,71706,5357,6958,8186,6646,10885,11564,5436,4854,6430,5390,89915,WORKHORSE,0.681508,0.052126,0.733634,20727.0,0.7974865150419841,1,0.05994550408719346
92805,56802,4558,6743,7075,5809,10510,10151,3594,2920,3725,1717,74478,WORKHORSE,0.69375,0.056768,0.750518,15227.0,0.7626681704664464,1,0.023053787695695372
92806,31427,1601,2986,3989,3556,5822,5141,2468,1617,2358,1889,39442,WORKHORSE,0.712866,0.055472,0.768338,9366.0,0.7967902236194919,1,0.04789310886871862
